14.5	37.02
15.94	40.79
9.17	41.13
15.23	37.26
15.23	37.97
13.75	37.75
16.6	40.91
13.6	43.55
12.42	43.56
11.23	46.48
15.54	41.76
13.29	42.77
13.41	42.35
11.92	43.77
11.84	43.65
11.48	42.85
12.77	42.58
12.94	43.5
13.59	42.85
11.9	45.8
11.79	43.8
12.65	43.06
12.66	43.04
12.55	43.48
12.27	43.57
12.64	43.19
12.57	43.37
12.41	43.32
12.19	43.45
12.27	43.33
15.46	38.16
12.46	43.48
12.4	43.45
12.26	43.55
12.69	43.42
12.35	43.2
12.29	43.28
12.41	43.38
12.24	43.51
10.47	45.82
12.05	42.25
10.6	44.06
15.13	41.2
12.47	44.14
9.45	44.77
10.38	46.47
11.37	43.93
10.32	45.54
10.31	45.55
10.48	45.11
11.73	46.7
11.77	44.22
10.37	46.48
12.08	44.28
14.59	41.55
15.38	40.08
9.04	40.51
14.14	40.82
13.76	43.19
10.13	45.46
15.24	41.03
11.97	43.33
14.09	40.84
14.35	42.23
15.51	40.56
14.5	37.62
13.41	42.54
15.82	41.16
9.93	45.64
16.21	39.25
16.22	39.25
10.87	42.79
11.0	44.87
12.76	37.68
14.08	40.81
12.23	43.46
15.3	40.49
10.21	42.75
16.51	39.4
14.02	41.6
12.98	41.95
12.9	43.0
12.59	42.61
15.95	39.53
14.09	40.83
9.3	39.37
14.91	41.65
13.67	43.31
13.2	43.38
13.96	37.16
13.82	37.46
14.09	40.78
11.81	44.58
15.3	40.32
14.18	40.84
10.22	45.61
14.16	40.8
14.14	40.82
13.0	43.63
13.3	37.89
12.32	43.8
14.15	40.83
14.12	40.82
14.16	37.41
16.44	40.38
11.95	43.62
13.0	37.8
13.06	43.21
10.98	43.8
12.01	45.84
14.53	36.83
12.88	43.77
14.42	40.82
14.14	40.83
14.06	37.94
11.29	43.47
14.14	40.83
13.2	43.09
15.02	40.86
14.15	40.83
11.65	46.05
9.76	45.28
9.61	40.32
7.25	44.5
15.09	37.78
14.91	37.69
15.0	37.77
14.71	37.6
14.99	37.74
15.12	37.88
14.9	37.73
15.21	37.79
13.1	43.33
15.03	37.79
15.09	37.74
15.0	37.72
15.03	37.82
14.97	37.68
14.95	37.82
15.02	37.63
15.02	37.77
15.06	37.81
15.19	37.67
14.86	37.82
10.41	44.42
12.59	38.04
15.13	37.76
14.82	37.75
14.97	37.69
14.88	37.62
15.03	37.69
14.95	37.77
9.13	45.2
15.14	37.69
11.88	44.29
13.58	42.27
13.02	43.84
13.67	37.27
12.81	43.77
13.09	43.04
13.05	42.96
16.13	38.45
11.54	44.9
15.16	41.8
15.52	41.13
15.27	41.28
15.95	41.71
13.12	42.27
11.26	43.77
